commune,surface_m2,nbr_chambres,etage,type_logement,distance_centre_km,annee_construction,etat,parking,gardiennage,prix_fcfa
Port-Bouet,35,2,0,Villa,21.9,1989,Bon état,1,1,5900000
Adjamé,84,1,2,Duplex,2.8,2015,Bon état,1,0,12900000
Koumassi,93,4,0,Appartement,5.9,2010,À rénover,0,1,17900000
Marcory,127,2,0,Studio,4.0,1998,Bon état,1,0,30100000
Plateau,77,3,0,Villa,25.7,1997,Bon état,1,1,32500000
Koumassi,86,1,2,Appartement,3.3,1985,Bon état,0,0,14200000
Koumassi,61,3,0,Duplex,12.1,2007,Bon état,0,1,7600000
Treichville,84,2,0,Studio,15.5,1986,Bon état,1,1,18500000
Yopougon,62,1,2,Studio,4.6,2017,Neuf,1,0,8800000
Yopougon,101,3,0,Appartement,3.8,1991,À rénover,1,1,12400000
Koumassi,61,2,0,Villa,11.0,2020,Bon état,0,0,7100000
Yopougon,89,2,0,Appartement,19.5,2013,Bon état,1,0,11100000
Port-Bouet,73,1,1,Appartement,11.2,2004,Neuf,1,1,10500000
Port-Bouet,129,1,1,Appartement,2.1,1996,Bon état,1,0,23000000
Yopougon,72,2,0,Studio,17.5,2012,À rénover,0,0,9200000
Koumassi,30,1,5,Studio,3.9,2002,À rénover,1,1,5000000
Koumassi,139,4,2,Appartement,6.9,1988,Bon état,0,1,21900000
Cocody,47,1,1,Appartement,14.2,1985,Neuf,1,0,15400000
Port-Bouet,53,2,1,Studio,1.7,1981,Bon état,1,1,9200000
Abobo,55,1,1,Appartement,12.3,2017,Bon état,1,1,5900000
Koumassi,147,2,2,Villa,7.3,1988,Bon état,0,1,21900000
Yopougon,25,4,0,Appartement,17.9,1982,À rénover,1,1,5000000
Port-Bouet,354,2,0,Appartement,1.5,1995,Bon état,1,1,54300000
Yopougon,125,5,3,Duplex,4.4,2004,Neuf,1,1,25700000
Cocody,82,2,0,Appartement,14.3,2003,À rénover,1,0,25600000
Port-Bouet,72,3,1,Appartement,0.5,2008,Neuf,0,0,13000000
Cocody,85,3,3,Appartement,1.0,2023,À rénover,1,1,38000000
Marcory,96,4,2,Duplex,37.3,2019,Bon état,1,1,20000000
Treichville,102,3,1,Studio,2.6,2005,À rénover,1,1,21300000
Treichville,97,3,2,Appartement,29.7,2017,Neuf,1,0,17400000
Abobo,77,2,0,Appartement,1.6,2014,Neuf,1,0,10500000
Abobo,67,2,2,Villa,3.6,2002,Bon état,1,1,10000000
Yopougon,68,4,1,Appartement,11.2,1983,Bon état,0,1,13700000
Marcory,67,2,3,Villa,8.6,2021,Bon état,1,1,17100000
Yopougon,130,2,4,Appartement,7.0,1993,À rénover,1,1,17700000
Adjamé,99,3,4,Appartement,6.0,2018,À rénover,1,0,16300000
Koumassi,20,2,4,Villa,14.8,1986,Bon état,1,1,5000000
Koumassi,102,5,1,Appartement,2.1,1987,Neuf,0,1,24600000
Koumassi,81,3,1,Studio,4.7,2021,Bon état,1,0,14100000
Cocody,73,3,1,Appartement,1.4,1998,Bon état,0,0,22000000
Yopougon,61,4,2,Appartement,7.2,1981,Bon état,0,1,11800000
Cocody,129,1,3,Duplex,2.3,1980,À rénover,0,1,30800000
Abobo,118,2,0,Appartement,3.2,2021,Neuf,1,0,14900000
Yopougon,50,2,4,Villa,5.1,2017,Bon état,1,0,6800000
Port-Bouet,90,2,3,Appartement,0.5,1992,Neuf,0,0,17000000
Yopougon,45,3,5,Villa,0.8,2021,Bon état,1,0,6700000
Cocody,37,4,3,Villa,9.3,2023,Bon état,1,1,10100000
Plateau,54,2,0,Appartement,4.5,2003,Bon état,1,1,20600000
Koumassi,113,2,0,Studio,16.0,2011,Neuf,1,1,19800000
Abobo,119,5,0,Villa,9.5,2009,Neuf,1,1,17200000
Cocody,95,2,0,Appartement,0.5,1985,Neuf,0,0,32100000
Cocody,106,2,2,Villa,7.7,2017,Bon état,1,0,27000000
Adjamé,95,2,3,Villa,0.8,2012,Bon état,1,0,15300000
Cocody,53,4,3,Appartement,12.1,2023,Bon état,1,0,16700000
Koumassi,91,3,2,Appartement,38.1,2002,À rénover,0,0,16400000
Adjamé,110,3,0,Appartement,6.1,1989,Bon état,1,1,19200000
Cocody,107,4,0,Appartement,9.2,1994,Bon état,1,1,41000000
Cocody,134,2,0,Studio,2.2,2002,Neuf,0,1,47100000
Treichville,105,2,1,Appartement,4.6,2015,Bon état,1,1,23800000
Yopougon,88,4,1,Duplex,15.5,1980,Bon état,1,1,14800000
Yopougon,126,2,0,Appartement,1.5,1987,Neuf,1,1,15000000
Koumassi,73,3,1,Appartement,2.5,1982,Neuf,1,0,11900000
Treichville,47,4,0,Studio,4.7,1993,À rénover,0,1,10200000
Treichville,68,3,2,Villa,10.0,1996,À rénover,1,0,14200000
Koumassi,51,3,1,Villa,3.8,2013,Neuf,1,0,7800000
Yopougon,53,4,1,Appartement,21.0,1985,Bon état,1,0,7300000
Cocody,69,4,1,Appartement,0.8,1984,À rénover,1,1,16900000
Koumassi,50,2,4,Appartement,3.7,2020,Neuf,0,1,6800000
Abobo,63,1,0,Duplex,9.9,2019,Bon état,1,1,7100000
Yopougon,29,2,1,Appartement,2.0,2008,À rénover,1,1,5000000
Port-Bouet,82,3,2,Studio,8.5,2014,À rénover,0,1,15300000
Cocody,74,2,2,Villa,1.4,1997,Bon état,1,1,28800000
Yopougon,49,3,4,Appartement,0.5,2019,Neuf,1,1,8500000
Cocody,102,2,1,Villa,1.0,2009,Bon état,1,1,38400000
Yopougon,118,3,1,Studio,21.3,1994,À rénover,0,0,18800000
Cocody,33,2,0,Studio,6.4,1994,À rénover,1,0,11700000
Cocody,50,3,2,Appartement,12.7,1995,Bon état,1,1,14500000
Cocody,50,3,0,Appartement,3.2,2012,Bon état,0,0,14700000
Adjamé,46,2,0,Appartement,7.2,1989,Bon état,1,1,5000000
Koumassi,112,2,1,Appartement,5.5,1998,Bon état,0,1,19900000
Abobo,67,3,1,Villa,23.3,2016,À rénover,1,1,10500000
Treichville,65,2,0,Studio,11.0,1982,Bon état,0,0,12200000
Yopougon,27,2,2,Appartement,10.5,2015,Bon état,0,1,5000000
Marcory,101,5,2,Villa,0.5,1983,Bon état,0,0,23600000
Port-Bouet,40,3,0,Villa,6.4,1990,Bon état,1,1,7900000
Marcory,76,5,1,Appartement,5.0,2020,Bon état,1,1,23400000
Treichville,85,2,2,Appartement,21.0,2012,Bon état,1,1,12900000
Cocody,146,2,1,Villa,2.4,2007,À rénover,0,1,46900000
Treichville,38,4,1,Studio,2.5,2011,Bon état,1,0,8600000
Cocody,20,3,1,Villa,4.2,1995,À rénover,1,1,6600000
Port-Bouet,81,3,2,Appartement,2.2,1988,Neuf,0,0,16100000
Abobo,181,2,4,Appartement,1.1,1990,Bon état,1,0,20900000
Treichville,137,2,2,Appartement,15.6,1985,Bon état,1,0,27700000
Cocody,82,1,0,Villa,6.5,2006,À rénover,1,1,22200000
Abobo,58,2,1,Studio,15.8,1991,Neuf,0,0,7900000
Treichville,110,1,3,Appartement,14.2,2001,Bon état,0,0,22200000
Abobo,45,1,0,Studio,2.7,2019,Bon état,1,1,5100000
Abobo,94,5,5,Villa,6.3,2016,Bon état,1,1,11000000
Adjamé,95,2,4,Villa,0.7,2000,À rénover,0,0,14500000
Yopougon,125,3,0,Duplex,19.7,2012,À rénover,0,1,21400000
Abobo,293,4,4,Appartement,4.1,1996,Bon état,1,1,40200000
Abobo,90,3,1,Duplex,4.0,2008,Neuf,1,0,12600000
Port-Bouet,57,2,3,Appartement,2.9,2019,Bon état,1,1,12500000
Cocody,73,3,1,Appartement,4.9,1989,Bon état,0,1,27400000
Marcory,30,3,1,Studio,2.3,1997,À rénover,1,1,7100000
Treichville,52,3,2,Duplex,3.8,1992,À rénover,0,0,10600000
Port-Bouet,60,3,3,Villa,12.9,2006,Neuf,0,1,6900000
Yopougon,57,5,0,Villa,14.4,1989,Bon état,0,0,9500000
Abobo,80,3,2,Villa,2.9,2011,Bon état,1,1,9700000
Marcory,49,2,0,Studio,5.1,2020,Neuf,1,0,11200000
Plateau,129,3,1,Appartement,16.6,1982,Bon état,1,0,51200000
Yopougon,74,1,1,Studio,0.5,2001,Bon état,0,0,9200000
Yopougon,73,4,1,Appartement,17.6,2006,Bon état,0,1,8600000
Abobo,63,1,1,Appartement,2.0,1982,Bon état,0,0,6000000
Cocody,80,2,0,Appartement,9.1,2012,Bon état,0,0,25900000
Treichville,111,4,0,Villa,7.0,1981,Neuf,1,0,32900000
Treichville,48,3,0,Duplex,6.4,1990,À rénover,0,1,10400000
Adjamé,53,2,1,Villa,15.7,1989,Bon état,0,0,9000000
Abobo,63,2,4,Duplex,0.9,2018,À rénover,0,1,8600000
Marcory,38,4,0,Appartement,3.4,2012,Bon état,0,0,8300000
Koumassi,49,2,4,Villa,6.2,1986,À rénover,1,0,7800000
Adjamé,58,4,2,Studio,13.3,1994,À rénover,1,1,9600000
Plateau,114,1,2,Villa,2.0,2005,Bon état,1,1,45100000
Port-Bouet,84,3,2,Villa,13.0,1990,Bon état,1,0,15900000
Koumassi,81,4,3,Villa,4.1,2017,À rénover,0,0,14700000
Treichville,113,2,0,Studio,1.7,2006,Bon état,0,0,20500000
Adjamé,69,2,1,Studio,11.4,2018,À rénover,1,1,12400000
Abobo,90,2,2,Appartement,0.8,1986,Bon état,1,0,14000000
Yopougon,70,3,2,Studio,5.8,1980,Bon état,0,1,9000000
Port-Bouet,84,3,3,Appartement,0.5,1989,Neuf,0,0,14800000
Port-Bouet,55,3,0,Appartement,3.5,2000,Bon état,0,0,10600000
Cocody,22,2,2,Studio,7.4,1994,À rénover,0,0,7400000
Cocody,69,2,1,Appartement,6.5,2009,Bon état,0,1,19100000
Yopougon,150,1,1,Studio,4.1,2009,Neuf,0,1,11200000
Koumassi,117,2,1,Appartement,4.5,1987,Bon état,1,0,21300000
Treichville,119,3,2,Appartement,2.1,2003,Bon état,0,1,29200000
Plateau,137,4,3,Appartement,4.9,1998,Bon état,0,0,43900000
Abobo,77,3,1,Appartement,24.5,1982,Bon état,1,1,8900000
Yopougon,81,2,3,Studio,15.2,1994,Bon état,1,1,14000000
Treichville,54,5,1,Appartement,1.3,2015,Neuf,1,0,16500000
Port-Bouet,63,3,0,Appartement,0.5,1985,Bon état,0,1,13300000
Koumassi,100,4,0,Appartement,21.7,2021,Bon état,1,1,16900000
Yopougon,135,3,0,Appartement,6.0,1997,À rénover,0,0,20600000
Yopougon,69,2,1,Studio,6.2,2017,À rénover,1,1,9500000
Marcory,59,1,1,Appartement,12.1,1998,Bon état,0,0,13800000
Cocody,74,3,2,Villa,3.0,2009,Bon état,0,1,20900000
Port-Bouet,100,1,2,Duplex,5.3,1992,Bon état,1,0,14100000
Koumassi,36,2,0,Villa,27.7,2018,Bon état,1,1,6300000
Treichville,23,3,0,Studio,8.9,1991,Bon état,1,0,5000000
Treichville,56,3,0,Appartement,1.3,2013,À rénover,0,0,14900000
Abobo,40,3,1,Appartement,1.1,1991,Bon état,0,0,5000000
Koumassi,57,2,0,Studio,1.8,2023,À rénover,1,0,8500000
Treichville,68,2,0,Villa,11.6,2003,Neuf,1,1,12000000
Port-Bouet,59,3,4,Villa,2.8,1983,Neuf,1,0,11000000
Marcory,152,5,3,Villa,0.5,2015,À rénover,1,1,31200000
Yopougon,87,3,0,Appartement,23.1,1993,Bon état,0,0,12200000
Plateau,86,4,1,Appartement,1.5,1996,Bon état,1,1,29300000
Treichville,101,3,1,Studio,0.5,1982,Bon état,0,1,24600000
Abobo,42,3,3,Villa,2.2,2017,Bon état,0,1,5900000
Marcory,124,2,1,Appartement,2.1,2002,Bon état,1,1,19800000
Adjamé,71,3,0,Studio,4.4,1992,Neuf,1,1,14800000
Abobo,103,3,2,Appartement,20.2,1988,Bon état,0,1,18100000
Yopougon,43,3,1,Appartement,16.9,2000,Bon état,0,0,6500000
Cocody,34,2,0,Studio,4.9,2020,À rénover,1,1,9300000
Adjamé,111,3,1,Studio,4.2,1987,Bon état,1,1,27500000
Abobo,89,2,1,Villa,6.5,1996,Neuf,0,0,8500000
Koumassi,47,3,1,Appartement,2.2,1995,Bon état,0,1,7700000
Abobo,48,2,0,Appartement,0.5,1995,Neuf,0,0,5900000
Port-Bouet,129,4,1,Villa,22.4,2007,Bon état,1,1,30800000
Abobo,41,2,0,Appartement,1.7,1995,Neuf,1,0,5100000
Abobo,168,1,3,Studio,1.8,1993,Bon état,1,1,17100000
Port-Bouet,47,2,0,Duplex,5.1,2023,Neuf,1,1,7000000
Yopougon,101,3,0,Studio,5.4,2017,Bon état,1,1,14400000
Plateau,63,2,2,Appartement,0.5,1999,À rénover,0,1,20200000
Cocody,100,2,3,Studio,1.3,2020,Bon état,0,1,30500000
Koumassi,56,3,3,Appartement,3.8,2013,Neuf,1,0,8300000
Abobo,68,2,1,Appartement,9.2,2008,Bon état,1,0,6300000
Adjamé,75,4,0,Appartement,2.1,1982,Bon état,1,0,16600000
Marcory,45,4,2,Appartement,4.4,1989,À rénover,1,0,10300000
Plateau,107,3,2,Duplex,6.5,1999,Neuf,1,0,35200000
Cocody,57,2,0,Appartement,17.6,1981,À rénover,0,1,16800000
Yopougon,66,3,4,Appartement,3.2,2006,Bon état,0,1,10100000
Abobo,45,1,0,Duplex,1.1,2011,Bon état,0,1,5000000
Yopougon,20,2,5,Appartement,5.4,1989,À rénover,0,0,5000000
Yopougon,67,2,3,Studio,11.0,2019,Bon état,1,0,7900000
Port-Bouet,246,4,2,Appartement,0.9,1996,À rénover,0,1,61300000
Yopougon,109,1,4,Appartement,4.4,2012,Bon état,0,0,15300000
Abobo,73,3,2,Duplex,0.5,1985,Bon état,1,0,8800000
Koumassi,65,3,0,Appartement,0.5,2018,Bon état,0,0,9400000
Yopougon,75,2,1,Villa,5.3,1997,Bon état,1,0,10400000
Abobo,97,1,0,Appartement,2.8,1988,Bon état,1,0,11700000
Port-Bouet,41,5,1,Appartement,14.9,1987,Bon état,1,0,8600000
Treichville,129,3,2,Appartement,7.4,2004,Neuf,1,0,27500000
Plateau,105,3,1,Appartement,4.8,2010,Bon état,0,1,43000000
Port-Bouet,106,2,1,Appartement,4.2,2021,Bon état,0,0,16700000
Yopougon,92,2,2,Studio,5.5,1983,À rénover,1,0,12300000
Marcory,74,2,3,Appartement,0.5,1999,Bon état,1,1,11000000
Yopougon,103,1,0,Appartement,17.9,2007,Bon état,1,1,15300000
Treichville,99,1,1,Appartement,40.0,2019,Neuf,0,0,19700000
Yopougon,62,4,0,Duplex,1.6,1980,À rénover,1,1,8800000
Yopougon,55,2,2,Duplex,1.0,2019,Bon état,1,0,9900000
Abobo,78,2,0,Villa,1.2,2023,Bon état,1,0,9400000
Marcory,160,3,2,Studio,8.7,2002,Bon état,0,1,31400000
Cocody,40,3,0,Appartement,8.7,1992,Bon état,1,1,14700000
Plateau,35,1,0,Appartement,15.1,1995,Bon état,1,0,13000000
Plateau,80,3,4,Villa,11.1,2005,À rénover,1,1,34400000
Plateau,76,1,0,Villa,4.8,2010,Neuf,0,1,24900000
Plateau,80,1,1,Appartement,7.6,1980,Bon état,1,0,29900000
Adjamé,83,1,0,Appartement,9.3,1996,À rénover,0,0,12000000
Plateau,66,4,1,Duplex,5.8,1995,Bon état,0,0,31000000
Yopougon,155,1,1,Studio,5.2,2016,À rénover,1,1,14400000
Port-Bouet,33,1,1,Appartement,8.3,1989,À rénover,0,0,5000000
Yopougon,49,2,0,Villa,6.5,2017,Bon état,1,1,8700000
Adjamé,70,4,1,Appartement,8.3,2023,Bon état,1,0,11500000
Plateau,32,2,2,Appartement,7.6,2010,Bon état,0,0,11000000
Plateau,67,2,3,Appartement,10.2,1989,Neuf,1,1,23600000
Cocody,169,1,1,Appartement,8.2,2013,À rénover,1,1,38700000
Plateau,74,2,2,Appartement,5.9,1985,À rénover,0,0,18700000
Marcory,83,3,0,Studio,9.2,2007,Bon état,1,0,18600000
Plateau,39,3,0,Appartement,4.8,2007,Bon état,0,1,16200000
Cocody,54,2,0,Villa,2.2,1992,Neuf,1,0,16200000
Plateau,61,2,0,Appartement,0.5,2020,Bon état,0,0,22600000
Yopougon,63,1,0,Appartement,6.6,1991,Bon état,0,1,8200000
Marcory,140,2,1,Studio,7.1,2019,À rénover,0,1,34900000
Yopougon,97,1,2,Villa,28.6,1981,Bon état,1,0,12200000
Abobo,42,3,4,Duplex,3.6,1987,À rénover,1,1,5000000
Adjamé,83,5,0,Duplex,4.0,2021,Bon état,1,1,15700000
Cocody,95,5,2,Appartement,1.8,1988,Bon état,0,0,38200000
Koumassi,130,4,3,Appartement,0.6,1987,Bon état,1,1,27300000
Abobo,162,3,2,Studio,11.9,1982,À rénover,0,0,18700000
Cocody,44,3,0,Duplex,2.3,1988,Bon état,0,0,14500000
Port-Bouet,49,2,0,Villa,7.5,1992,Bon état,1,0,8900000
Port-Bouet,39,3,0,Studio,9.3,1988,Neuf,0,0,6200000
Cocody,66,2,1,Studio,5.1,2010,Bon état,0,1,20000000
Marcory,93,2,2,Appartement,16.7,2004,Bon état,1,0,15700000
Koumassi,121,3,0,Villa,4.7,2023,Bon état,1,1,14400000
Koumassi,71,2,0,Studio,2.7,1987,Bon état,0,0,11300000
Plateau,63,2,2,Villa,18.1,2010,Bon état,0,0,22400000
Marcory,80,4,3,Appartement,15.8,2010,Neuf,0,1,20400000
Yopougon,49,1,1,Appartement,1.4,1996,À rénover,1,1,6400000
Yopougon,210,2,2,Appartement,0.5,1998,Bon état,1,1,25200000
Abobo,33,4,1,Appartement,0.8,1982,Bon état,1,1,5000000
Yopougon,81,3,0,Duplex,2.7,2009,Neuf,1,0,10000000
Yopougon,203,3,1,Appartement,28.7,1989,Bon état,1,1,37000000
Koumassi,74,2,2,Appartement,6.5,2008,Bon état,1,0,8900000
Cocody,67,2,4,Appartement,3.7,2019,À rénover,0,1,19700000
Marcory,62,4,0,Villa,17.6,1997,Bon état,0,1,13000000
Adjamé,67,3,1,Villa,4.8,1991,Bon état,1,0,12700000
Port-Bouet,146,3,1,Appartement,3.0,2002,Bon état,0,0,25800000
Abobo,24,1,1,Appartement,22.7,1990,Bon état,1,1,5000000
Abobo,159,1,0,Appartement,15.2,1988,À rénover,0,1,19700000
Cocody,36,5,1,Villa,14.8,2003,À rénover,1,0,13400000
Yopougon,65,2,3,Appartement,5.7,2004,Bon état,0,1,9800000
Abobo,59,3,2,Duplex,12.5,2004,Bon état,0,1,6400000
Marcory,99,1,1,Appartement,1.6,1988,À rénover,1,0,15600000
Marcory,33,3,0,Appartement,6.8,1991,Bon état,1,0,7800000
Yopougon,93,4,0,Villa,33.0,1990,Bon état,1,1,14300000
Cocody,203,3,1,Appartement,2.8,2017,À rénover,1,0,72100000
Yopougon,37,1,3,Villa,12.7,2007,Bon état,1,0,5000000
Marcory,81,3,4,Appartement,5.4,1987,Bon état,1,1,19400000
Yopougon,53,3,1,Villa,0.5,1989,À rénover,0,1,6000000
Cocody,91,2,1,Studio,11.5,2004,Bon état,0,1,35300000
Port-Bouet,74,4,3,Duplex,1.5,2015,Bon état,0,0,14300000
Abobo,53,3,1,Appartement,8.0,2022,Bon état,1,1,7500000
Adjamé,94,4,2,Appartement,0.7,1988,Bon état,0,1,15300000
Koumassi,182,3,0,Appartement,23.5,2020,Neuf,1,0,30900000
Yopougon,67,1,2,Duplex,2.8,1987,Bon état,1,1,7000000
Cocody,106,2,1,Duplex,2.1,1982,Bon état,1,1,34200000
Abobo,39,2,3,Appartement,1.1,1997,À rénover,0,1,5000000
Abobo,46,4,3,Appartement,23.4,2014,Bon état,0,1,6300000
Koumassi,93,3,0,Appartement,10.0,1996,Bon état,1,0,16700000
Yopougon,155,3,2,Appartement,10.8,2015,Bon état,0,1,19100000
Plateau,88,2,3,Appartement,5.5,2007,À rénover,0,1,29800000
Marcory,63,2,1,Appartement,5.2,1994,Bon état,0,1,14500000
Yopougon,74,3,0,Villa,0.9,1998,Bon état,0,1,14700000
Adjamé,39,2,0,Duplex,6.6,2001,Bon état,0,0,6200000
Abobo,100,2,1,Duplex,2.3,1985,Bon état,1,0,12900000
Yopougon,115,3,1,Appartement,30.2,1986,Bon état,1,0,17100000
Treichville,59,1,2,Villa,12.7,2023,Bon état,1,1,14500000
Abobo,58,2,0,Studio,4.3,1988,À rénover,0,0,5100000
Marcory,84,2,3,Appartement,1.3,1999,À rénover,1,1,18400000
Cocody,59,1,0,Villa,12.3,2016,À rénover,1,0,12500000
Plateau,71,5,0,Appartement,1.0,1990,Bon état,0,0,20500000
Marcory,211,2,1,Appartement,1.7,1981,À rénover,0,0,47600000
Plateau,65,1,1,Appartement,1.9,2001,À rénover,0,1,23200000
Plateau,62,2,0,Appartement,6.5,2015,Bon état,1,1,22400000
Marcory,53,3,0,Villa,12.4,1984,Bon état,1,1,12100000
Plateau,107,2,0,Appartement,3.0,1986,Bon état,1,1,59200000
Port-Bouet,67,3,2,Appartement,0.7,1985,Neuf,0,0,12000000
Cocody,53,1,3,Appartement,5.0,2001,Neuf,1,0,16000000
Abobo,143,1,1,Studio,11.0,1989,Neuf,0,1,14200000
Yopougon,150,2,2,Appartement,2.0,2019,Bon état,0,1,22000000
Treichville,55,4,2,Villa,2.0,1999,Bon état,1,0,12500000
Cocody,29,4,0,Villa,23.5,2007,Bon état,0,1,9400000
Yopougon,122,1,4,Appartement,24.7,2002,Bon état,1,0,20200000
Treichville,52,3,3,Appartement,37.2,2014,À rénover,1,0,13500000
Port-Bouet,109,4,0,Villa,13.2,1980,À rénover,1,0,22100000
Koumassi,28,2,0,Appartement,1.7,2008,Bon état,0,1,5000000
Marcory,115,4,0,Appartement,1.9,1988,Bon état,1,0,27000000
Plateau,40,1,0,Villa,3.3,1988,Bon état,1,0,19700000
Adjamé,106,4,2,Appartement,3.1,2001,Bon état,1,0,19000000
Port-Bouet,74,3,1,Appartement,25.1,1981,Bon état,1,0,16000000
Abobo,46,4,3,Appartement,12.4,1995,Bon état,1,1,7600000
Abobo,60,3,2,Appartement,10.3,2019,À rénover,1,0,7900000
Marcory,104,2,2,Villa,1.6,1985,Neuf,0,0,19600000
Koumassi,78,4,2,Villa,19.2,1992,Neuf,1,1,8600000
Plateau,99,2,0,Villa,14.1,2012,Neuf,1,0,41300000
Yopougon,198,2,1,Villa,1.4,1998,Bon état,1,0,24400000
Yopougon,34,3,2,Appartement,16.4,1994,Bon état,1,0,5300000
Abobo,165,3,0,Appartement,2.5,2012,Bon état,0,1,17100000
Marcory,78,4,0,Appartement,0.7,1989,Neuf,1,1,18600000
Cocody,47,2,3,Appartement,8.6,1980,Bon état,1,0,14300000
Abobo,38,3,2,Duplex,8.5,1991,Neuf,0,1,5000000
Marcory,67,3,0,Studio,0.8,2022,Bon état,0,1,12900000
Abobo,117,1,2,Appartement,3.1,2008,Neuf,1,1,15200000
Plateau,69,2,3,Appartement,39.5,1996,Bon état,0,0,23700000
Yopougon,157,2,1,Appartement,9.1,1983,Bon état,0,0,16500000
Abobo,36,2,0,Appartement,10.5,2008,Bon état,0,1,5000000
Cocody,73,5,4,Appartement,1.9,1986,Bon état,1,1,27100000
Yopougon,39,3,1,Villa,0.7,2023,Bon état,0,1,6000000
Plateau,88,3,0,Studio,2.6,1992,Neuf,1,0,43000000
Cocody,115,5,1,Villa,2.3,1984,Bon état,1,0,41000000
Treichville,60,2,3,Appartement,2.1,1985,Bon état,1,1,12100000
Yopougon,20,4,0,Appartement,1.7,2013,Bon état,1,1,5000000
Koumassi,81,2,0,Villa,6.8,1986,Bon état,1,0,13800000
Marcory,92,4,0,Studio,3.2,2007,À rénover,1,0,23400000
Adjamé,90,2,5,Studio,13.7,1989,Bon état,0,0,13700000
Koumassi,137,4,0,Duplex,1.6,1983,Neuf,1,1,17000000
Abobo,43,2,2,Villa,5.0,1982,Bon état,1,1,6200000
Yopougon,104,2,4,Villa,0.5,2004,Neuf,0,1,11900000
Yopougon,134,3,0,Appartement,5.3,2002,Bon état,1,1,18400000
Yopougon,30,2,5,Villa,0.5,2006,Bon état,0,0,5000000
Port-Bouet,86,3,4,Appartement,30.4,1993,Neuf,1,1,13100000
Koumassi,57,2,3,Appartement,12.5,2017,À rénover,0,1,6700000
Treichville,71,3,0,Villa,5.4,2011,Bon état,1,1,10700000
Plateau,88,2,2,Appartement,0.7,2002,Bon état,0,1,36900000
Adjamé,58,1,3,Appartement,7.2,2019,Neuf,0,0,8000000
Port-Bouet,53,2,5,Appartement,11.4,2016,Bon état,1,1,13200000
Plateau,75,2,0,Appartement,1.7,1982,À rénover,1,1,24100000
Cocody,43,2,3,Appartement,6.7,2014,Bon état,1,1,11200000
Koumassi,43,2,1,Appartement,13.5,1992,À rénover,0,0,6000000
Abobo,104,2,0,Appartement,11.7,2013,Neuf,0,1,12800000
Port-Bouet,41,1,1,Appartement,13.0,2003,Bon état,1,0,6100000
Plateau,103,3,3,Duplex,16.9,1980,Bon état,1,0,45700000
Koumassi,93,4,1,Appartement,22.2,1991,Bon état,0,0,13800000
Marcory,31,2,1,Appartement,4.2,1987,Neuf,1,1,5300000
Plateau,53,3,5,Villa,6.7,1998,Bon état,0,0,15700000
Plateau,134,3,1,Studio,12.5,1988,Bon état,0,0,36300000
Koumassi,45,2,2,Villa,9.6,2007,Bon état,0,1,6300000
Adjamé,58,3,1,Appartement,40.0,1993,Bon état,1,1,9600000
Abobo,93,2,1,Villa,0.5,2006,Bon état,1,1,10000000
Yopougon,109,3,2,Villa,3.5,1997,Bon état,1,0,19500000
Port-Bouet,65,1,4,Villa,2.6,2021,Bon état,1,1,12300000
Yopougon,55,3,1,Villa,2.4,2020,Bon état,0,0,7900000
Koumassi,150,3,3,Studio,2.0,1985,Bon état,1,0,17800000
Yopougon,176,1,0,Studio,9.9,2012,À rénover,1,0,20900000
Yopougon,120,2,0,Villa,0.7,2016,Neuf,1,1,15300000
Yopougon,77,5,1,Appartement,10.8,2021,Bon état,0,0,11900000
Marcory,49,2,0,Villa,9.5,2004,Bon état,1,0,9500000
Koumassi,49,3,0,Studio,2.3,1992,Bon état,1,0,7200000
Abobo,96,4,1,Appartement,2.3,2002,Bon état,1,0,12300000
Marcory,91,3,0,Duplex,7.9,2015,Bon état,1,1,19100000
Port-Bouet,149,3,0,Appartement,11.5,2012,Neuf,1,1,28500000
Yopougon,102,3,1,Appartement,16.7,2000,Bon état,0,0,16200000
Abobo,35,4,2,Studio,15.3,2013,À rénover,1,0,5000000
Port-Bouet,125,2,4,Appartement,26.8,2015,À rénover,1,0,25700000
Abobo,45,2,2,Appartement,7.0,1996,Neuf,1,1,5000000
Cocody,61,2,1,Appartement,19.1,1989,Bon état,1,0,14000000
Port-Bouet,84,5,4,Appartement,13.2,2002,Bon état,0,0,18800000
Abobo,200,3,3,Appartement,18.0,2023,Bon état,1,1,22400000
Yopougon,349,1,0,Appartement,0.5,1981,Bon état,0,0,47600000
Plateau,100,4,0,Appartement,27.0,2014,Bon état,0,0,27800000
Koumassi,67,2,2,Duplex,5.1,1993,Neuf,1,0,12200000
Abobo,96,1,2,Duplex,12.8,2020,À rénover,0,0,11600000
Abobo,115,3,3,Appartement,1.1,1981,À rénover,0,1,11400000
Port-Bouet,63,2,2,Villa,4.0,1998,Bon état,0,1,8500000
Koumassi,181,4,2,Appartement,2.5,1995,Bon état,1,0,39300000
Plateau,83,2,5,Appartement,2.8,2022,Bon état,1,0,27900000
Marcory,95,4,1,Appartement,1.1,2023,Bon état,0,1,20600000
Marcory,103,3,0,Duplex,13.1,2004,Bon état,0,1,15800000
Koumassi,91,1,3,Duplex,0.5,1980,À rénover,1,0,12100000
Cocody,112,5,0,Appartement,3.0,1981,Neuf,1,1,40000000
Abobo,54,3,3,Appartement,1.5,2006,Bon état,0,0,7600000
Koumassi,56,2,4,Appartement,7.1,1981,Bon état,1,1,6700000
