region,village,superficie_ha,rendement_tonne_ha,type_semence,engrais_npk_kg,acces_irrigation,pluviometrie_mm,type_sol,annee,prix_vente_fcfa
Centrale,Mango,0.66,2.66,Améliorée,0.0,0,923.0,Ferralitique,2022,277500.0
Plateaux,Akplogan,1.76,3.9,Hybride,112.0,0,1228.0,Vertisol,2020,342700.0
Savanes,Akplogan,8.8,1.21,Traditionnelle,111.0,0,1150.0,Ferralitique,2023,108900.0
Maritime,Tohoun,2.44,3.46,Hybride,0.0,0,1339.0,Ferrugineux,2021,273800.0
Kara,Dévé,1.35,2.6,Améliorée,82.0,1,1191.0,Ferralitique,2019,254200.0
Maritime,Tsévié,0.82,2.16,Améliorée,152.0,1,1178.0,Hydromorphe,2019,213700.0
Savanes,Tsévié,3.54,1.28,OPV,129.0,0,894.0,Ferrugineux,2019,139800.0
Kara,Tohoun,3.09,2.64,Améliorée,,0,609.0,Hydromorphe,2020,275500.0
Savanes,Dévé,1.67,2.45,Améliorée,132.0,0,859.0,Hydromorphe,2022,224400.0
Centrale,Tohoun,8.04,1.88,Traditionnelle,0.0,0,855.0,Hydromorphe,2023,152200.0
Kara,Tsévié,0.56,2.96,OPV,169.0,0,1013.0,Ferralitique,2021,296700.0
Centrale,Akplogan,1.41,1.32,Traditionnelle,124.0,0,908.0,Ferralitique,2021,143500.0
Maritime,Bassar,6.85,2.83,Hybride,61.0,0,1088.0,Ferralitique,2020,294600.0
Maritime,Dévé,1.47,2.05,Améliorée,185.0,1,614.0,Ferralitique,2019,221900.0
Kara,Mango,1.23,3.1,Hybride,134.0,0,1288.0,Ferrugineux,2020,286800.0
Kara,Mango,2.41,2.45,Traditionnelle,0.0,0,843.0,Ferralitique,2022,219100.0
Savanes,Akplogan,4.84,2.05,Améliorée,0.0,0,731.0,Ferrugineux,2022,176400.0
Savanes,Tohoun,0.77,1.49,Améliorée,135.0,1,,Hydromorphe,2023,140200.0
Centrale,Tohoun,7.66,1.98,Traditionnelle,0.0,1,756.0,Ferrugineux,2023,186200.0
Kara,Tsévié,4.46,2.32,Traditionnelle,0.0,0,1167.0,Vertisol,2022,225800.0
Maritime,Akplogan,1.0,2.19,Traditionnelle,106.0,0,,Ferralitique,2022,204800.0
Savanes,Tsévié,3.61,1.98,Traditionnelle,86.0,1,798.0,Vertisol,2022,185000.0
Savanes,Tsévié,1.72,1.15,Traditionnelle,0.0,0,815.0,Ferrugineux,2020,98400.0
Maritime,Mango,1.79,3.0,Améliorée,157.0,0,1235.0,Ferralitique,2022,318700.0
Savanes,Tsévié,4.32,1.9,Traditionnelle,126.0,1,872.0,Vertisol,2021,182000.0
Centrale,Tsévié,8.73,1.63,Améliorée,147.0,1,784.0,Ferralitique,2019,151100.0
Kara,Mango,0.84,3.05,Améliorée,118.0,0,1200.0,Ferrugineux,2022,262000.0
Maritime,Tohoun,1.86,1.65,Traditionnelle,129.0,0,1109.0,Vertisol,2019,130300.0
Kara,Dévé,2.14,1.97,Traditionnelle,0.0,0,906.0,Ferrugineux,2020,218100.0
Savanes,Bassar,1.68,1.78,OPV,0.0,0,1017.0,Vertisol,2019,181400.0
Savanes,Tsévié,1.63,1.84,Améliorée,113.0,1,606.0,Hydromorphe,2020,138800.0
Maritime,Dévé,0.63,1.78,Traditionnelle,174.0,0,1210.0,Hydromorphe,2021,185100.0
Centrale,Mango,3.39,1.69,Traditionnelle,25.0,1,710.0,Hydromorphe,2020,179300.0
Plateaux,Dévé,1.93,1.88,Traditionnelle,202.0,0,,Hydromorphe,2020,181300.0
Maritime,Bassar,1.04,2.27,OPV,51.0,0,943.0,Hydromorphe,2023,258800.0
Plateaux,Dévé,4.73,3.1,OPV,94.0,0,1396.0,Ferrugineux,2022,302700.0
Plateaux,Dévé,4.56,3.28,Hybride,0.0,0,779.0,Hydromorphe,2022,255700.0
Centrale,Dévé,2.17,2.58,Améliorée,0.0,0,1055.0,Ferrugineux,2021,256000.0
Plateaux,Dévé,1.39,3.6,Hybride,,0,1477.0,Hydromorphe,2021,352900.0
Plateaux,Akplogan,3.04,1.9,Traditionnelle,0.0,0,1140.0,Ferralitique,2022,166500.0
Centrale,Tsévié,1.35,2.1,OPV,0.0,0,796.0,Hydromorphe,2023,214000.0
Plateaux,Mango,1.17,3.26,OPV,96.0,0,1128.0,Ferralitique,2022,244200.0
Plateaux,Bassar,3.78,3.49,Hybride,131.0,0,1187.0,Ferrugineux,2023,372600.0
Plateaux,Mango,0.6,2.63,OPV,117.0,0,998.0,Hydromorphe,2021,222400.0
Maritime,Akplogan,0.75,1.94,Traditionnelle,0.0,0,1097.0,Vertisol,2019,161300.0
Maritime,Akplogan,0.52,2.61,OPV,0.0,0,1506.0,Ferrugineux,2021,244500.0
Maritime,Akplogan,0.91,2.89,Hybride,0.0,0,1333.0,Hydromorphe,2021,290000.0
Centrale,Tsévié,0.68,1.5,Traditionnelle,131.0,0,640.0,Ferrugineux,2020,145500.0
Savanes,Akplogan,14.18,2.63,Hybride,0.0,0,813.0,Vertisol,2020,226600.0
Plateaux,Dévé,1.35,3.17,OPV,96.0,0,1135.0,Hydromorphe,2020,281700.0
Plateaux,Mango,0.9,3.6,Hybride,85.0,1,1157.0,Vertisol,2020,293100.0
Centrale,Tohoun,1.19,2.91,Hybride,144.0,0,1071.0,Hydromorphe,2023,268200.0
Plateaux,Bassar,7.38,3.02,Améliorée,0.0,0,1093.0,Ferralitique,2022,325600.0
Maritime,Akplogan,2.34,1.91,OPV,153.0,0,1302.0,Ferrugineux,2019,181400.0
Savanes,Mango,1.63,2.0,OPV,83.0,1,864.0,Vertisol,2021,211100.0
Kara,Akplogan,5.67,3.55,Hybride,48.0,0,992.0,Ferrugineux,2023,398700.0
Plateaux,Tsévié,1.76,3.26,Améliorée,98.0,0,1190.0,Vertisol,2019,286300.0
Maritime,Akplogan,1.52,2.79,OPV,0.0,0,1163.0,Ferrugineux,2023,258500.0
Kara,Akplogan,1.08,1.83,Traditionnelle,116.0,0,816.0,Ferrugineux,2023,221400.0
Savanes,Akplogan,1.69,2.63,Hybride,0.0,1,721.0,Ferrugineux,2021,294900.0
Kara,Akplogan,1.45,2.32,OPV,0.0,1,640.0,Ferralitique,2022,174000.0
Maritime,Bassar,3.33,1.77,Traditionnelle,0.0,0,1209.0,Hydromorphe,2020,176900.0
Kara,Mango,1.35,2.7,OPV,126.0,1,1004.0,Ferralitique,2022,256200.0
Centrale,Tsévié,2.65,2.36,Traditionnelle,126.0,0,1004.0,Ferrugineux,2021,247500.0
Kara,Akplogan,0.67,4.07,Hybride,0.0,0,877.0,Vertisol,2021,350100.0
Plateaux,Akplogan,1.03,2.95,OPV,119.0,0,1265.0,Ferrugineux,2021,250900.0
Plateaux,Akplogan,1.81,2.47,OPV,,0,1188.0,Hydromorphe,2019,214200.0
Centrale,Akplogan,7.41,2.64,Améliorée,88.0,0,1072.0,Ferralitique,2022,233100.0
Maritime,Dévé,1.68,3.37,Hybride,0.0,0,1093.0,Hydromorphe,2022,353300.0
Plateaux,Dévé,3.23,2.42,Traditionnelle,0.0,0,1444.0,Vertisol,2023,195900.0
Savanes,Tohoun,1.24,2.55,OPV,67.0,1,1007.0,Hydromorphe,2023,223600.0
Plateaux,Akplogan,0.84,3.09,OPV,0.0,1,1542.0,Ferralitique,2023,227400.0
Plateaux,Tohoun,0.65,2.46,Traditionnelle,85.0,0,850.0,Vertisol,2021,263400.0
Maritime,Bassar,1.41,3.3,Hybride,,0,1287.0,Hydromorphe,2022,364400.0
Kara,Tohoun,0.93,2.95,Améliorée,208.0,1,893.0,Ferralitique,2021,268500.0
Plateaux,Mango,0.98,3.09,Améliorée,0.0,1,1041.0,Ferralitique,2019,282200.0
Centrale,Dévé,4.08,2.12,OPV,133.0,0,1113.0,Ferrugineux,2023,212800.0
Kara,Dévé,0.54,1.92,Traditionnelle,49.0,0,1030.0,Hydromorphe,2021,216700.0
Savanes,Akplogan,2.54,1.52,OPV,0.0,0,920.0,Vertisol,2021,151600.0
Maritime,Akplogan,1.69,1.93,Traditionnelle,84.0,0,1301.0,Ferrugineux,2019,167400.0
Savanes,Bassar,2.27,2.22,Améliorée,0.0,1,993.0,Hydromorphe,2020,167600.0
Kara,Tsévié,2.57,3.41,Hybride,75.0,0,905.0,Hydromorphe,2022,278700.0
Kara,Bassar,1.44,2.5,Traditionnelle,0.0,1,845.0,Vertisol,2020,239400.0
Kara,Mango,1.37,3.08,Améliorée,160.0,0,885.0,Ferrugineux,2023,268100.0
Savanes,Akplogan,3.81,2.05,OPV,120.0,1,500.0,Ferrugineux,2021,199400.0
Kara,Akplogan,5.63,1.57,Traditionnelle,85.0,0,938.0,Vertisol,2019,139000.0
Savanes,Bassar,1.03,1.98,Hybride,183.0,0,812.0,Ferrugineux,2019,163300.0
Kara,Bassar,0.76,2.83,OPV,89.0,0,1187.0,Ferralitique,2022,228900.0
Centrale,Bassar,6.2,2.27,OPV,33.0,0,903.0,Vertisol,2020,258300.0
Kara,Dévé,1.58,2.86,Améliorée,138.0,0,686.0,Hydromorphe,2022,302400.0
Savanes,Tohoun,2.5,1.52,Traditionnelle,75.0,0,891.0,Vertisol,2021,175800.0
Plateaux,Tohoun,1.61,2.44,OPV,0.0,0,1179.0,Ferralitique,2022,247900.0
Kara,Akplogan,0.84,2.74,Hybride,104.0,0,985.0,Vertisol,2019,246400.0
Plateaux,Dévé,2.72,2.37,Traditionnelle,144.0,0,1619.0,Hydromorphe,2019,262500.0
Centrale,Bassar,2.36,3.05,Hybride,176.0,0,1072.0,Hydromorphe,2023,288800.0
Maritime,Akplogan,1.07,2.74,OPV,71.0,0,1336.0,Vertisol,2023,267800.0
Centrale,Dévé,2.0,2.65,Hybride,0.0,1,906.0,Vertisol,2021,250900.0
Kara,Mango,4.49,2.7,Améliorée,116.0,0,654.0,Ferralitique,2020,160700.0
Plateaux,Tsévié,2.73,3.42,Hybride,0.0,1,1168.0,Ferralitique,2022,391300.0
Plateaux,Dévé,0.75,2.52,Traditionnelle,0.0,0,1266.0,Hydromorphe,2021,254200.0
Savanes,Akplogan,2.49,2.65,Hybride,0.0,0,989.0,Ferrugineux,2023,261900.0
Plateaux,Tohoun,3.53,3.77,Hybride,139.0,0,1376.0,Ferrugineux,2022,355400.0
Savanes,Bassar,4.43,2.11,Améliorée,0.0,0,975.0,Ferrugineux,2023,204600.0
Maritime,Tsévié,2.98,2.46,Hybride,0.0,0,1475.0,Ferrugineux,2022,216000.0
Kara,Mango,0.91,3.32,Hybride,57.0,0,849.0,Hydromorphe,2020,340100.0
Savanes,Tsévié,3.6,1.7,OPV,0.0,0,925.0,Ferrugineux,2021,135200.0
Maritime,Tsévié,3.33,2.23,OPV,0.0,0,1493.0,Ferrugineux,2022,216400.0
Plateaux,Dévé,0.56,2.31,Traditionnelle,0.0,0,978.0,Vertisol,2019,234800.0
Plateaux,Akplogan,1.83,2.4,OPV,0.0,0,1193.0,Ferrugineux,2019,222500.0
Maritime,Akplogan,1.51,2.8,OPV,196.0,0,1094.0,Vertisol,2022,278700.0
Plateaux,Tsévié,3.27,3.08,OPV,,0,886.0,Hydromorphe,2022,256200.0
Maritime,Bassar,1.11,2.69,OPV,199.0,0,1269.0,Vertisol,2022,224300.0
Savanes,Akplogan,2.73,1.48,Améliorée,150.0,0,827.0,Ferralitique,2019,144800.0
Savanes,Tsévié,6.61,2.04,OPV,0.0,0,804.0,Vertisol,2019,210800.0
Maritime,Akplogan,4.5,2.87,Améliorée,0.0,0,1194.0,Ferrugineux,2022,208300.0
Savanes,Bassar,6.86,2.16,Améliorée,142.0,0,630.0,Vertisol,2023,218400.0
Savanes,Mango,10.1,2.06,OPV,91.0,0,,Vertisol,2023,182200.0
Savanes,Tsévié,0.53,1.67,Hybride,0.0,0,780.0,Hydromorphe,2020,155000.0
Centrale,Tohoun,2.94,2.5,Améliorée,0.0,0,1030.0,Hydromorphe,2021,197200.0
Kara,Tohoun,1.83,3.11,Hybride,115.0,0,671.0,Ferrugineux,2023,263800.0
Plateaux,Tsévié,5.41,2.74,Hybride,0.0,0,1049.0,Ferralitique,2019,292500.0
Centrale,Dévé,1.23,1.85,OPV,0.0,0,1021.0,Ferralitique,2023,176200.0
Savanes,Mango,10.41,1.8,Traditionnelle,149.0,0,969.0,Vertisol,2020,163100.0
Maritime,Dévé,2.88,2.08,OPV,141.0,1,1392.0,Ferralitique,2020,194600.0
Savanes,Tohoun,4.44,2.0,Traditionnelle,0.0,0,945.0,Hydromorphe,2021,201800.0
Kara,Bassar,0.72,2.12,Traditionnelle,48.0,0,687.0,Ferrugineux,2023,212500.0
Savanes,Tsévié,1.01,1.17,OPV,0.0,0,855.0,Ferrugineux,2019,109900.0
Maritime,Akplogan,4.05,1.83,OPV,,0,1245.0,Hydromorphe,2019,197300.0
Kara,Tohoun,0.56,2.56,Traditionnelle,101.0,1,1043.0,Ferrugineux,2022,272600.0
Savanes,Mango,4.74,1.63,OPV,195.0,0,903.0,Vertisol,2019,163300.0
Kara,Tohoun,0.54,1.93,Traditionnelle,109.0,1,725.0,Ferrugineux,2021,184200.0
Plateaux,Mango,3.18,3.51,Hybride,65.0,0,1264.0,Ferralitique,2021,361400.0
Plateaux,Mango,1.64,2.67,OPV,107.0,0,1239.0,Ferrugineux,2019,263800.0
Savanes,Tsévié,2.86,2.44,Hybride,161.0,0,500.0,Ferrugineux,2019,262300.0
Kara,Mango,3.48,3.38,Améliorée,0.0,0,1041.0,Hydromorphe,2022,358000.0
Maritime,Dévé,1.55,2.59,Hybride,95.0,0,1034.0,Hydromorphe,2019,214600.0
Savanes,Bassar,0.79,2.02,Hybride,143.0,0,1116.0,Ferralitique,2022,165300.0
Plateaux,Tohoun,0.68,2.29,Traditionnelle,120.0,0,1037.0,Hydromorphe,2022,198400.0
Plateaux,Bassar,2.72,3.23,Hybride,0.0,1,987.0,Ferralitique,2019,344500.0
Savanes,Akplogan,2.34,1.47,OPV,129.0,0,950.0,Vertisol,2020,112200.0
Kara,Tohoun,3.89,1.71,Traditionnelle,139.0,0,952.0,Ferralitique,2020,170300.0
Plateaux,Bassar,2.28,3.36,Améliorée,102.0,0,1584.0,Ferrugineux,2022,334200.0
Kara,Bassar,1.87,2.27,OPV,129.0,0,724.0,Ferralitique,2019,246800.0
Plateaux,Tsévié,1.77,2.99,Améliorée,0.0,0,1214.0,Vertisol,2020,290200.0
Plateaux,Tsévié,0.57,2.92,Hybride,0.0,0,941.0,Ferrugineux,2019,230500.0
Centrale,Akplogan,1.52,1.85,OPV,0.0,0,1032.0,Ferralitique,2019,154500.0
Plateaux,Mango,9.83,2.24,OPV,0.0,0,1016.0,Hydromorphe,2019,181200.0
Maritime,Tohoun,5.67,3.18,Améliorée,110.0,0,1448.0,Hydromorphe,2023,281800.0
Savanes,Tsévié,1.5,1.99,OPV,128.0,0,869.0,Hydromorphe,2019,184700.0
Savanes,Tohoun,2.72,1.46,OPV,100.0,1,852.0,Ferralitique,2023,118500.0
Kara,Akplogan,5.2,2.34,OPV,79.0,0,828.0,Ferralitique,2022,264000.0
Plateaux,Tsévié,1.96,2.86,Hybride,0.0,0,1661.0,Vertisol,2020,226100.0
Maritime,Tsévié,0.55,2.36,Améliorée,0.0,0,904.0,Ferrugineux,2020,261900.0
Kara,Mango,0.69,2.37,OPV,0.0,1,873.0,Ferrugineux,2020,258700.0
Centrale,Tohoun,2.29,1.25,Traditionnelle,0.0,0,672.0,Ferrugineux,2020,131700.0
Kara,Tohoun,9.22,1.72,Traditionnelle,160.0,0,988.0,Ferrugineux,2020,148900.0
Kara,Tohoun,3.45,1.69,Traditionnelle,0.0,0,549.0,Ferralitique,2020,167900.0
Plateaux,Mango,0.68,2.27,Traditionnelle,0.0,0,1267.0,Ferralitique,2020,180600.0
Centrale,Tsévié,1.02,2.78,Hybride,0.0,1,1033.0,Vertisol,2022,294600.0
Kara,Akplogan,4.19,2.06,OPV,139.0,0,991.0,Ferrugineux,2019,194200.0
Maritime,Tohoun,5.1,2.73,Améliorée,175.0,0,1056.0,Ferralitique,2021,245600.0
Maritime,Bassar,2.9,2.43,OPV,170.0,0,1610.0,Ferralitique,2023,195000.0
Savanes,Mango,3.09,2.23,Hybride,148.0,0,773.0,Ferralitique,2021,145500.0
Centrale,Dévé,0.57,2.26,Traditionnelle,145.0,1,853.0,Ferralitique,2021,186700.0
Centrale,Akplogan,4.91,2.8,Hybride,0.0,0,613.0,Ferrugineux,2019,303600.0
Savanes,Bassar,4.38,1.29,OPV,133.0,0,767.0,Ferrugineux,2019,116300.0
Kara,Tohoun,1.25,2.81,Améliorée,145.0,0,1017.0,Ferralitique,2019,261600.0
Centrale,Dévé,3.58,2.76,Hybride,107.0,0,1157.0,Hydromorphe,2020,284300.0
Maritime,Akplogan,1.1,2.45,Améliorée,65.0,0,1117.0,Vertisol,2022,285800.0
Maritime,Mango,0.6,3.08,Hybride,0.0,1,1207.0,Ferrugineux,2020,341600.0
Plateaux,Dévé,1.06,3.72,Améliorée,119.0,1,1222.0,Ferrugineux,2022,310100.0
Centrale,Tsévié,0.99,2.15,Améliorée,0.0,0,1019.0,Hydromorphe,2022,153900.0
Kara,Dévé,1.53,1.81,Traditionnelle,197.0,0,755.0,Ferrugineux,2021,223800.0
Savanes,Bassar,1.86,2.38,Améliorée,0.0,0,955.0,Hydromorphe,2021,291400.0
Savanes,Akplogan,2.28,1.69,Traditionnelle,0.0,0,855.0,Hydromorphe,2022,164500.0
Kara,Bassar,2.12,2.79,OPV,102.0,0,1138.0,Ferralitique,2022,222300.0
Plateaux,Bassar,1.29,2.75,OPV,107.0,0,1143.0,Ferrugineux,2020,292800.0
Savanes,Tohoun,0.57,1.59,Traditionnelle,0.0,0,1013.0,Vertisol,2020,148700.0
Centrale,Mango,2.82,1.36,Traditionnelle,90.0,0,850.0,Hydromorphe,2021,127500.0
Plateaux,Dévé,1.76,3.46,Hybride,141.0,0,925.0,Vertisol,2019,366300.0
Centrale,Akplogan,1.39,3.11,Hybride,0.0,0,867.0,Ferralitique,2022,308000.0
Maritime,Tsévié,5.54,2.77,Hybride,157.0,1,804.0,Ferrugineux,2020,223400.0
Plateaux,Mango,3.93,2.76,OPV,127.0,0,1209.0,Ferralitique,2021,251300.0
Savanes,Mango,5.38,1.75,Hybride,105.0,0,889.0,Ferralitique,2020,179700.0
Plateaux,Akplogan,2.21,3.41,Améliorée,0.0,0,1010.0,Vertisol,2022,345300.0
Plateaux,Mango,0.85,3.43,Améliorée,0.0,0,1033.0,Vertisol,2022,336800.0
Plateaux,Tohoun,3.48,3.76,Hybride,166.0,0,1353.0,Hydromorphe,2023,399500.0
Plateaux,Mango,1.08,3.17,Améliorée,103.0,0,891.0,Ferrugineux,2019,287600.0
Centrale,Tohoun,1.96,2.2,OPV,148.0,1,711.0,Ferralitique,2023,214100.0
Maritime,Dévé,0.67,2.84,Améliorée,0.0,0,1319.0,Hydromorphe,2021,154900.0
Kara,Dévé,4.86,2.09,OPV,128.0,0,686.0,Hydromorphe,2020,187100.0
Plateaux,Bassar,0.84,2.3,Traditionnelle,25.0,0,1153.0,Ferralitique,2021,239900.0
Savanes,Tohoun,6.34,1.56,Traditionnelle,0.0,1,1012.0,Ferralitique,2022,140700.0
Plateaux,Tsévié,5.49,2.59,Traditionnelle,169.0,0,1284.0,Hydromorphe,2023,231300.0
Savanes,Dévé,2.06,1.57,Traditionnelle,141.0,1,917.0,Ferralitique,2023,129500.0
Centrale,Mango,3.91,2.55,Améliorée,0.0,0,816.0,Ferralitique,2023,273200.0
Savanes,Akplogan,2.92,2.56,Hybride,51.0,1,763.0,Vertisol,2021,259800.0
Kara,Akplogan,4.56,2.82,Améliorée,0.0,0,1143.0,Ferrugineux,2022,295700.0
Maritime,Tohoun,1.91,1.79,OPV,136.0,0,1292.0,Hydromorphe,2020,132700.0
Savanes,Tsévié,4.35,2.51,Améliorée,136.0,1,755.0,Ferralitique,2020,233600.0
Savanes,Bassar,2.05,2.49,Améliorée,168.0,1,914.0,Hydromorphe,2021,228500.0
Maritime,Mango,7.57,2.2,OPV,114.0,0,1002.0,Ferrugineux,2023,202000.0
Kara,Tohoun,2.17,2.11,Traditionnelle,136.0,0,875.0,Hydromorphe,2019,184600.0
Plateaux,Akplogan,2.05,2.16,Traditionnelle,0.0,0,1038.0,Hydromorphe,2021,196100.0
Savanes,Tohoun,4.34,1.62,Traditionnelle,80.0,0,996.0,Hydromorphe,2021,170300.0
Maritime,Mango,4.81,3.19,Hybride,0.0,0,1252.0,Vertisol,2022,230100.0
Centrale,Tsévié,2.52,1.95,OPV,0.0,1,,Ferrugineux,2020,226300.0
Maritime,Tsévié,1.0,2.14,OPV,0.0,0,1357.0,Ferrugineux,2021,215800.0
Centrale,Dévé,2.08,2.17,Améliorée,95.0,0,986.0,Hydromorphe,2021,204900.0
Kara,Mango,9.11,3.15,Hybride,0.0,0,500.0,Hydromorphe,2023,333000.0
Plateaux,Dévé,4.0,2.27,Traditionnelle,0.0,0,1310.0,Ferrugineux,2023,176100.0
Maritime,Dévé,4.67,2.68,Hybride,0.0,1,1289.0,Ferralitique,2019,233200.0
Savanes,Dévé,0.58,1.72,OPV,0.0,0,,Vertisol,2022,160600.0
Kara,Tohoun,2.08,2.48,OPV,194.0,0,1113.0,Ferrugineux,2019,276800.0
Maritime,Akplogan,3.1,3.36,Améliorée,34.0,0,1273.0,Hydromorphe,2023,317500.0
Savanes,Tsévié,4.93,1.81,Améliorée,0.0,0,1057.0,Ferralitique,2020,181800.0
Maritime,Tohoun,0.63,2.66,OPV,111.0,1,783.0,Ferralitique,2023,234200.0
Centrale,Akplogan,5.28,1.99,Traditionnelle,178.0,1,924.0,Ferralitique,2022,200700.0
Maritime,Tsévié,2.49,2.3,Traditionnelle,54.0,0,1643.0,Vertisol,2023,265000.0
Maritime,Mango,1.05,3.13,Hybride,197.0,0,1128.0,Vertisol,2022,334500.0
Maritime,Tsévié,1.45,2.71,OPV,125.0,0,1054.0,Ferrugineux,2022,254500.0
Kara,Tsévié,1.33,2.77,OPV,0.0,0,776.0,Ferrugineux,2022,285300.0
Maritime,Tsévié,2.39,1.7,Traditionnelle,112.0,0,1262.0,Ferrugineux,2022,173100.0
Savanes,Bassar,0.63,1.87,Traditionnelle,102.0,0,886.0,Ferrugineux,2022,189100.0
Centrale,Mango,0.93,2.28,OPV,161.0,0,,Hydromorphe,2020,247300.0
Centrale,Tohoun,4.69,1.93,Améliorée,77.0,0,934.0,Vertisol,2019,209000.0
Maritime,Tohoun,0.86,2.39,OPV,0.0,0,1318.0,Ferralitique,2021,223200.0
Kara,Akplogan,1.16,2.48,OPV,,1,926.0,Hydromorphe,2019,255200.0
Kara,Tohoun,2.01,2.12,Traditionnelle,89.0,0,,Ferrugineux,2022,191900.0
Savanes,Dévé,2.32,1.79,Traditionnelle,0.0,1,1454.0,Ferrugineux,2020,150400.0
Maritime,Tsévié,4.11,3.63,Améliorée,,0,1374.0,Hydromorphe,2023,332700.0
Centrale,Tohoun,1.98,2.03,Améliorée,144.0,0,676.0,Ferralitique,2020,191200.0
Kara,Akplogan,4.4,2.86,Hybride,165.0,0,942.0,Vertisol,2022,214900.0
Maritime,Akplogan,2.91,2.36,OPV,63.0,0,1187.0,Vertisol,2020,248500.0
Kara,Dévé,0.8,2.21,Traditionnelle,190.0,0,717.0,Ferralitique,2020,136700.0
Kara,Akplogan,0.92,2.88,Améliorée,19.0,0,659.0,Vertisol,2022,367500.0
Centrale,Bassar,1.94,2.96,Hybride,0.0,0,978.0,Ferrugineux,2020,334100.0
Plateaux,Tsévié,1.76,3.06,Hybride,0.0,0,1438.0,Ferrugineux,2021,281400.0
Savanes,Tsévié,3.9,1.75,Traditionnelle,0.0,1,,Ferrugineux,2021,166200.0
Savanes,Tsévié,2.67,1.29,Traditionnelle,0.0,0,1079.0,Ferrugineux,2020,127100.0
Centrale,Mango,1.73,3.4,Hybride,0.0,0,1147.0,Ferralitique,2023,298600.0
Kara,Tohoun,0.97,3.55,Améliorée,119.0,0,747.0,Vertisol,2022,345200.0
Maritime,Bassar,1.14,2.74,Hybride,80.0,0,1446.0,Vertisol,2021,255600.0
Kara,Tohoun,2.64,2.57,OPV,0.0,0,,Hydromorphe,2023,241300.0
Centrale,Bassar,1.88,2.27,OPV,0.0,0,815.0,Ferralitique,2020,221000.0
Savanes,Tohoun,2.31,1.56,Traditionnelle,0.0,0,761.0,Vertisol,2023,123900.0
Kara,Dévé,0.97,2.55,Améliorée,183.0,0,1190.0,Vertisol,2019,243600.0
Savanes,Akplogan,3.22,2.09,Améliorée,0.0,0,941.0,Hydromorphe,2021,202300.0
Maritime,Akplogan,5.29,1.69,OPV,0.0,0,1170.0,Ferrugineux,2020,163400.0
Savanes,Dévé,1.25,2.41,Hybride,,1,752.0,Vertisol,2022,222800.0
Savanes,Bassar,2.19,1.26,Traditionnelle,167.0,0,681.0,Ferrugineux,2020,137200.0
Plateaux,Mango,9.78,3.47,Hybride,0.0,0,1444.0,Hydromorphe,2022,315300.0
Plateaux,Bassar,1.51,3.74,Hybride,128.0,1,1411.0,Vertisol,2020,365600.0
Plateaux,Akplogan,2.76,3.4,Hybride,0.0,0,1374.0,Ferrugineux,2023,376300.0
Savanes,Mango,0.74,2.51,Améliorée,158.0,0,898.0,Ferralitique,2023,236200.0
Centrale,Tohoun,2.83,2.22,OPV,145.0,0,,Ferrugineux,2023,216600.0
Savanes,Mango,0.73,1.81,Améliorée,0.0,0,698.0,Ferrugineux,2019,169500.0
Centrale,Bassar,8.5,2.45,OPV,66.0,1,1021.0,Ferrugineux,2022,268600.0
Centrale,Dévé,3.64,2.02,Traditionnelle,0.0,0,1009.0,Ferrugineux,2023,185800.0
Plateaux,Tohoun,4.38,2.27,Traditionnelle,0.0,0,1413.0,Ferralitique,2019,250700.0
Kara,Bassar,3.54,3.57,Hybride,0.0,0,717.0,Hydromorphe,2022,334500.0
Maritime,Tohoun,2.73,2.17,OPV,75.0,1,1017.0,Ferrugineux,2020,183700.0
Plateaux,Mango,1.99,2.34,OPV,0.0,0,1033.0,Ferrugineux,2019,241000.0
Plateaux,Akplogan,5.39,2.45,OPV,0.0,0,,Vertisol,2021,223500.0
Kara,Bassar,8.36,2.6,Hybride,0.0,1,1067.0,Vertisol,2019,266600.0
Maritime,Dévé,2.23,3.58,Hybride,0.0,0,1095.0,Ferralitique,2019,223100.0
Savanes,Mango,7.2,1.98,Traditionnelle,95.0,0,692.0,Ferralitique,2022,188500.0
Savanes,Bassar,2.69,1.58,Améliorée,0.0,0,948.0,Ferralitique,2020,141300.0
Plateaux,Dévé,2.43,2.38,OPV,0.0,0,1208.0,Vertisol,2021,195300.0
Maritime,Bassar,2.02,2.74,OPV,165.0,0,913.0,Ferrugineux,2023,241800.0
Plateaux,Mango,1.09,3.57,Améliorée,127.0,0,937.0,Vertisol,2023,314200.0
Centrale,Bassar,0.51,2.08,OPV,130.0,0,1049.0,Hydromorphe,2019,196800.0
Plateaux,Tohoun,1.19,3.55,Hybride,,0,773.0,Ferralitique,2022,278700.0
Plateaux,Mango,2.28,3.58,Hybride,,0,1403.0,Ferralitique,2022,354200.0
Savanes,Bassar,1.69,2.11,OPV,111.0,0,938.0,Ferralitique,2023,235500.0
Savanes,Akplogan,1.99,2.34,Hybride,129.0,0,1091.0,Hydromorphe,2021,229800.0
Savanes,Bassar,10.36,1.54,Hybride,0.0,1,832.0,Ferrugineux,2020,161200.0
Centrale,Tohoun,1.58,2.04,OPV,76.0,0,1143.0,Ferrugineux,2021,220900.0
Savanes,Dévé,2.0,1.21,Traditionnelle,0.0,1,1133.0,Ferrugineux,2020,133400.0
Maritime,Dévé,0.86,2.97,Améliorée,142.0,0,1399.0,Ferralitique,2023,348600.0
